source_id,answer,clue,part_of_speech,length,quality,dictionary_bits,review_decision,review_notes
"wn30:02321757-v","steal","take without the owner's consent","verb","5","95","3","",""
"wn30:08212347-n","men","the force of workers available","noun","3","95","3","",""
"wn30:00074641-r","forward","at or to or toward the front","adverb","7","95","3","",""
"wn30:00875394-v","suggest","make a proposal, declare a plan for something","verb","7","95","3","",""
"wn30:00965035-v","report","to give an account or representation of in words","verb","6","95","3","",""
"wn30:02238085-v","obtain","come into possession of","verb","6","95","3","",""
"wn30:05320899-n","ear","the sense organ for hearing and equilibrium","noun","3","95","3","",""
"wn30:05849789-n","feature","a prominent attribute or aspect of something","noun","7","95","3","",""
"wn30:10193967-n","husband","a married man; a woman's partner in marriage","noun","7","95","3","",""
"wn30:02991711-n","cell","any small compartment","noun","4","95","3","",""
"wn30:05194578-n","force","a powerful effect or influence","noun","5","95","3","",""
"wn30:01930874-v","drive","operate or control a vehicle","verb","5","95","3","",""
"wn30:01494310-v","set","put into a certain place or abstract location","verb","3","95","3","",""
"wn30:01752495-v","produce","bring forth or yield","verb","7","95","3","",""
"wn30:00917772-v","predict","make a prediction about; tell in advance","verb","7","95","3","",""
"wn30:08322981-n","board","a committee having supervisory powers","noun","5","95","3","",""
"wn30:02140033-v","display","to show, make visible or apparent","verb","7","95","3","",""
"wn30:00048739-r","immediately","without delay or hesitation; with no time intervening","adverb","11","95","3","",""
"wn30:01496021-a","minimal","the least possible","adjective","7","95","3","",""
"wn30:00784342-v","ask","inquire about","verb","3","95","3","",""
"wn30:02627934-v","need","require as useful, just, or proper","verb","4","95","3","",""
"wn30:01617192-v","create","make or cause to be or to become","verb","6","95","3","",""
"wn30:00008600-r","alone","without any others being included or involved","adverb","5","95","3","",""
"wn30:01640855-v","accomplish","put in effect","verb","10","95","3","",""
"wn30:06724763-n","description","a statement that represents something in words","noun","11","95","3","",""
"wn30:02708420-v","spend","pass time in a specific way","verb","5","95","3","",""
"wn30:00027795-r","yet","up to the present time","adverb","3","95","3","",""
"wn30:01767163-v","worry","be worried, concerned, anxious, troubled, or uneasy","verb","5","95","3","",""
"wn30:04928903-n","manner","how something is done or how it happens","noun","6","95","3","",""
"wn30:02219940-v","sponsor","assume sponsorship of","verb","7","95","3","",""
"wn30:07480068-n","emotion","any strong feeling","noun","7","95","3","",""
"wn30:02665282-v","resemble","appear like; be similar or bear a likeness to","verb","8","95","3","",""
"wn30:02075462-v","flee","run away quickly","verb","4","95","3","",""
"wn30:00829107-v","teach","impart skills or knowledge to","verb","5","95","3","",""
"wn30:00490035-a","unusual","not usual or common or ordinary","adjective","7","95","3","",""
"wn30:00145713-r","enough","as much as necessary","adverb","6","95","3","",""
"wn30:07325990-n","onset","the beginning or early stages","noun","5","95","3","",""
"wn30:02514187-v","treat","interact in a certain way","verb","5","95","3","",""
"wn30:01698271-v","write","produce a literary work","verb","5","95","3","",""
"wn30:00775831-v","oppose","be against; express opposition to","verb","6","95","3","",""
"wn30:08208016-n","personnel","group of people willing to obey orders","noun","9","95","3","",""
"wn30:02069355-a","other","not the same one or ones already mentioned or implied","adjective","5","95","3","",""
"wn30:05330244-n","thyroid","located near the base of the neck","noun","7","95","3","",""
"wn30:00980527-a","slow","not moving quickly; taking a comparatively long time","adjective","4","95","3","",""
"wn30:14462946-n","weakness","a flaw or weak point","noun","8","95","3","",""
"wn30:15166191-n","afternoon","the part of the day between noon and evening","noun","9","95","3","",""
"wn30:02632940-v","include","have as a part, be made up out of","verb","7","95","3","",""
"wn30:00024073-r","not","negation of a word or group of words","adverb","3","95","3","",""
"wn30:01745722-v","publish","put into print","verb","7","95","3","",""
"wn30:00410247-n","practice","a customary way of operation or behavior","noun","8","95","3","",""
"wn30:01380638-v","gather","assemble or get together","verb","6","95","3","",""
"wn30:02132745-v","stare","look at with fixed eyes","verb","5","95","3","",""
"wn30:01002956-n","observation","the act of making and recording a measurement","noun","11","95","3","",""
"wn30:15227846-n","hour","a period of time equal to 1/24th of a day","noun","4","95","3","",""
"wn30:00155621-r","generally","usually; as a rule","adverb","9","95","3","",""
"wn30:02136892-v","reflect","manifest or bring back","verb","7","95","3","",""
"wn30:00035058-r","frequently","many times at short intervals","adverb","10","95","3","",""
"wn30:02035919-v","bend","form a curve","verb","4","95","3","",""
"wn30:00588888-v","understand","know and comprehend the nature or meaning of","verb","10","95","3","",""
"wn30:02144835-v","hide","prevent from being seen or discovered","verb","4","95","3","",""
"wn30:01977701-v","drop","let fall to the ground","verb","4","95","3","",""
"wn30:01569566-v","install","set up for use","verb","7","95","3","",""
"wn30:00226550-r","over","at or to a point across intervening space etc","adverb","4","95","3","",""
"wn30:00877625-n","glance","a quick look","noun","6","95","3","",""
"wn30:05856388-n","value","a numerical quantity measured or assigned or computed","noun","5","95","3","",""
"wn30:02916350-n","bullet","a projectile that is fired from a gun","noun","6","95","3","",""
"wn30:01447257-v","press","exert pressure or force to or upon","verb","5","95","3","",""
"wn30:00607780-v","remember","recall knowledge from memory; have a recollection","verb","8","95","3","",""
"wn30:06891493-n","performance","a dramatic or musical entertainment","noun","11","95","3","",""
"wn30:00084223-r","particularly","to a distinctly greater extent or degree than is common","adverb","12","95","3","",""
"wn30:01998432-v","follow","to travel behind, go after, come after","verb","6","95","3","",""
"wn30:03540595-n","hospital","a health facility where patients receive treatment","noun","8","95","3","",""
"wn30:01086545-a","empty","holding or containing nothing","adjective","5","95","3","",""
"wn30:09945905-n","companion","a friend who is frequently in the company of another","noun","9","95","3","",""
"wn30:00802318-v","permit","consent to, give permission","verb","6","95","3","",""
"wn30:00047534-r","also","in addition","adverb","4","95","3","",""
"wn30:01114824-n","sale","a particular instance of selling","noun","4","95","3","",""
"wn30:00300247-r","maybe","by chance","adverb","5","95","3","",""
"wn30:00109151-r","there","in or at that place","adverb","5","95","3","",""
"wn30:10153414-n","guy","an informal term for a youth or man","noun","3","95","3","",""
"wn30:00610167-v","forget","dismiss from the mind; stop remembering","verb","6","95","3","",""
"wn30:08566028-n","end","either extremity of something that has length","noun","3","95","3","",""
